76089	0
76428	0
76443	0
77359	0
76278	0
76247	0
76282	0
76198	0
77282	0
76335	0
76332	0
76538	0
76351	0
76199	0
76327	0
76179	0
76546	0
77265	0
51634	1
52248	1
51496	1
51834	1
50519	1
52100	1
52136	1
52198	1
50452	1
51982	1
51502	1
51534	1
52123	1
52265	1
52262	1
50550	1
52200	1
51818	1
52290	1
104607	2
104637	2
104862	2
104891	2
104469	2
102689	2
104919	2
104546	2
104973	2
104345	2
104775	2
104761	2
104969	2
104509	2
104369	2
104350	2
99971	2
105086	2
104840	2
53792	3
54749	3
53531	3
54117	3
53966	3
53968	3
54712	3
54009	3
52599	3
53871	3
54039	3
54041	3
54220	3
53691	3
54071	3
54221	3
54159	3
53944	3
52664	3
54542	8
54588	8
55233	8
55490	8
54181	8
54385	8
54382	8
55096	8
54235	8
54669	8
54602	8
54895	8
54666	8
54269	8
54619	8
54681	8
54886	8
54821	8
178941	4
178384	4
179039	4
178431	4
178498	4
178892	4
178452	4
177008	4
178611	4
178736	4
178319	4
178774	4
176885	4
176871	4
178781	4
67108	5
67334	5
67358	5
67100	5
67552	5
68115	5
66429	5
66966	5
67029	5
67246	5
68003	5
68231	5
67284	5
67045	5
67255	5
68016	5
67405	5
68248	5
66891	5
38298	6
38433	6
38434	6
38600	6
38255	6
38808	6
38654	6
38380	6
38522	6
38525	6
38373	6
38318	6
39033	6
39002	6
38786	6
39068	6
38919	6
38745	6
38902	6
60771	7
61030	7
61097	7
60946	7
58926	7
60971	7
60712	7
60205	7
61116	7
60869	7
60274	7
60227	7
60229	7
60217	7
60817	7
60965	7
58968	7
61013	7
58902	7
83983	9
84199	9
83985	9
84304	9
83741	9
84240	9
84248	9
84241	9
83867	9
83447	9
83485	9
84299	9
